129806 43 7 1279 1279
129962 32 1 1279 1279
129967 32 1 1279 1279
129972 32 1 1279 1279
129977 32 1 1279 1279
129982 32 1 1279 1279
129986 32 1 1279 1279
129991 32 1 1279 1279
129995 32 1 1279 1279
130001 32 2 1279 1279
130006 32 2 1279 1279
130011 32 2 1296 1279
130016 32 2 1296 1278
130021 32 2 1298 1274
130026 32 2 1298 1269
130031 32 2 1300 1265
130036 32 2 1299 1260
130041 32 3 1297 1254
130046 32 3 1298 1251
130051 32 3 1295 1250
130056 32 3 1295 1251
130061 32 3 1298 1252
130066 32 3 1304 1255
130071 32 3 1309 1258
130075 32 3 1316 1262
130080 32 4 1322 1268
130085 32 4 1327 1275
130090 32 4 1328 1279
130095 32 4 1328 1279
130100 32 4 1326 1300
130106 32 4 1320 1309
130111 32 4 1316 1316
130116 32 4 1310 1321
130121 32 5 1302 1326
130126 32 5 1295 1329
130131 32 5 1279 1332
130136 32 5 1279 1335
130142 32 5 1271 1336
130147 32 5 1266 1336
130152 32 5 1262 1335
130157 32 5 1259 1329
130162 32 6 1258 1323
130167 32 6 1263 1311
130172 32 6 1275 1304
130177 32 6 1279 1293
130183 32 6 1310 1279
130188 32 6 1326 1267
130193 32 6 1334 1254
130198 32 6 1322 1246
130203 32 7 1318 1236
130208 32 7 1310 1240
130213 32 7 1301 1240
130218 32 7 1279 1246
130224 32 7 1296 1247
130229 32 7 1299 1257
130234 32 7 1309 1265
130239 32 7 1319 1275
130245 33 1 1343 1279
130250 33 1 1364 1279
130255 33 1 1378 1294
130260 33 1 1391 1299
130266 33 1 1396 1305
130271 33 1 1392 1309
130276 33 1 1376 1311
130282 33 2 1340 1308
130287 33 2 1319 1309
130292 33 2 1300 1308
130297 33 2 1279 1304
130302 33 2 1279 1299
130308 33 2 1279 1299
130313 33 2 1279 1297
130319 33 3 1299 1309
130324 33 3 1314 1297
130329 33 3 1324 1279
130334 33 3 1331 1279
130339 33 3 1350 1265
130345 33 3 1356 1251
130350 33 3 1357 1239
130356 33 4 1370 1216
130361 33 4 1375 1205
130366 33 4 1375 1201
130371 33 4 1382 1171
130376 33 4 1397 1151
130381 33 4 1395 1151
130387 33 4 1396 1149
130393 33 5 1389 1151
130398 33 5 1371 1169
130403 33 5 1337 1190
130408 33 5 1279 1215
130413 33 5 1226 1252
130418 33 5 1172 1279
130423 33 5 1115 1301
130429 33 5 1080 1341
130435 33 6 1059 1325
130440 33 6 1071 1311
130445 33 6 1094 1300
130450 33 6 1121 1279
130455 33 6 1151 1279
130459 33 6 1179 1267
130464 33 6 1209 1265
130469 33 6 1239 1259
130476 33 7 1279 1262
130481 33 7 1319 1243
130486 33 7 1343 1227
130491 33 7 1355 1204
130496 33 7 1366 1195
130500 33 7 1369 1177
130505 33 7 1375 1172
130510 33 7 1381 1180
130519 38 1 1375 1198
130524 38 1 1366 1214
130529 38 1 1358 1219
130534 38 1 1347 1228
130538 38 1 1332 1240
130543 38 1 1322 1268
